beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
2.0543655166993156,0.059469325516874054,1.9378077805013536,2.1709232528972775,0.2331154723959239,1,19,27,0.12673217052660632
2.0208535299566153,0.05582942399456675,1.9114298696496481,2.130277190263582,0.21884732061393408,1,9,8,0.20125043299777917
2.1219712817985377,0.06373090070129538,1.9970610117217003,2.246881551875375,0.2498205401536746,1,19,22,0.15000735107764993
1.9204769013124656,0.05041011098926388,1.8216748993168417,2.0192789033080896,0.1976040039912479,1,5,8,0.19459754782519817
2.0766583042477538,0.051767111630546085,1.9751966298682189,2.1781199786272887,0.2029233487590698,1,8,5,0.1971732518756604
1.9973511517159133,0.05741772259948693,1.8848144833466074,2.1098878200852194,0.22507333673861196,1,7,6,0.19878766402476142
2.0340257658651435,0.057671853069636514,1.92099101092697,2.1470605208033167,0.22606950987634655,1,6,7,0.2185482502739501
2.039295533063539,0.05661287680301992,1.9283363334684172,2.150254732658661,0.22191839919024403,1,6,10,0.22682802653333373
1.9377253788011772,0.06270440222952128,1.8148270087592024,2.060623748843152,0.24579674008394958,1,12,8,0.16263664398446542
2.017643564704169,0.05650648043016469,1.9068928981679287,2.128394231240409,0.22150133307248043,1,8,6,0.17693606003719617
2.053461411568479,0.048657671350756375,1.95809412814941,2.148828694987548,0.19073456683813794,1,6,4,0.22555605559925399
1.973232674232106,0.05183611410717004,1.871635757483544,2.0748295909806678,0.20319383349712372,1,4,4,0.24047583028137134
1.9360059779833958,0.057339732506763594,1.8236221673869786,2.0483897885798132,0.22476762119283467,1,9,5,0.17695084109944867
2.069691850382362,0.051263910543869966,1.9692164320096937,2.1701672687550304,0.20095083674533676,1,6,8,0.20174209224501763
1.8492141583153756,0.051258633437806275,1.7487490828805348,1.9496792337502165,0.2009301508696817,0,19,9,0.13434527020809983
1.8745935856518927,0.05332635028541026,1.7700758596655213,1.9791113116382641,0.20903545197274287,0,20,5,0.16218184347441886
2.1978634743924177,0.06134639921353094,2.0776267413526806,2.318100207432155,0.24047346607947429,0,15,24,0.16583006481248255
2.0376306832080755,0.06770549731630757,1.9049303469127394,2.170331019503412,0.26540067259067235,1,5,14,0.21914793953603348
2.0392264852733897,0.05337602140566756,1.9346114056802424,2.143841564866537,0.20923015918629484,1,11,10,0.17718224595341722
1.9714883195458448,0.05460353996806769,1.8644673477800389,2.0785092913116507,0.21404194353161188,1,10,6,0.18835598874174544
2.0372112535723326,0.06027991998699714,1.919064781406862,2.155357725737803,0.23629294433094117,1,11,11,0.15622558693446267
1.9438922181990463,0.053753048528904855,1.8385381790231592,2.0492462573749335,0.2107080783517743,1,5,5,0.22188209113122248
2.1268542526359617,0.06650936856056706,1.9964982856227498,2.2572102196491737,0.2607119340264239,1,19,22,0.1250957340536304
2.031368298918285,0.05540193965110903,1.9227824925284496,2.13995410530812,0.21717161277967034,1,6,9,0.1941038360801522
2.0837439425739794,0.05997400581329118,1.966197051171333,2.201290833976626,0.23509378280529325,1,16,19,0.1456987012673954
1.9397591579552769,0.06783961469248344,1.806795956432935,2.0727223594776185,0.2659264030446835,1,17,20,0.128442930487185
2.0020990332689967,0.05217407261801897,1.8998397300109022,2.1043583365270915,0.20451860651618925,1,14,10,0.1654128783204368
2.124046474114437,0.060823615481985616,2.0048343783602323,2.2432585698686416,0.23842419150840932,0,8,10,0.19991772625292992
2.0727100724730385,0.05580661321864909,1.9633311204653294,2.1820890244807476,0.21875790401541817,1,21,16,0.14537275366505065
2.0200179634436037,0.05124129024239401,1.9195868800471478,2.1204490468400596,0.2008621667929118,1,8,14,0.2083781059027039
1.9884613299327807,0.052914349327865214,1.8847511109847936,2.0921715488807675,0.20742043789597386,1,12,8,0.17178198871822847
2.193668763872472,0.05281657434690096,2.090150180365764,2.29718734737918,0.20703716701341612,0,12,15,0.18595501371055248
1.9816462432467645,0.05530788558827177,1.8732447794326899,2.090047707060839,0.21680292762814912,1,6,6,0.20666921168557453
2.0060206143565265,0.050792144538420465,1.9064698403636695,2.105571388349383,0.19910154798571367,1,7,7,0.2228328289351993
1.9666615864912746,0.0556304626386069,1.857627883276304,2.0756952897062453,0.21806740642994127,1,21,21,0.12937485141490615
1.8398812926637385,0.05583383571373115,1.7304489855460992,1.9493135997813777,0.2188646142352786,0,21,11,0.12179632555412112
2.0477996818528457,0.058555199028250585,1.9330336006498998,2.1625657630557917,0.22953216240589192,1,12,26,0.16971501981441084
2.132494820571238,0.055038255814426035,2.024621821403061,2.240367819739415,0.2157459983363541,0,26,25,0.11755372459270616
2.0579710078314797,0.05598180109935638,1.9482486938870565,2.167693321775903,0.21944462788884667,1,8,10,0.1852455704811251
2.0687669489150093,0.04956248966470378,1.9716262541880514,2.1659076436419675,0.19428138945391615,1,10,7,0.1828436928377572
2.0425211944114947,0.05608294462597057,1.9326006427976383,2.1524417460253513,0.219841103227713,1,3,6,0.2543708145366225
1.9681795112370257,0.05791850838734821,1.8546613207595422,2.0816977017145093,0.22703638095496714,1,21,11,0.11822511293930417
1.9970359102574546,0.06072938105984066,1.878008510576758,2.116063309938151,0.23805479936139307,1,9,7,0.1988579520722102
1.9515549367807745,0.056713067078677654,1.840399367853762,2.062710505707787,0.2223111378540248,1,11,11,0.19177027067616118
1.9992532533539986,0.05246393356856247,1.8964258330723143,2.102080673635683,0.2056548405633689,1,22,26,0.12202702126717843
1.939832994363247,0.06285040532120911,1.8166484635199327,2.0630175252065617,0.24636906168662898,1,6,8,0.22191154969089572
1.9976690997146496,0.05704572186403266,1.8858615393890565,2.109476660040243,0.22361512065118627,1,7,8,0.20026083029017333
2.082148102485787,0.055227186886016286,1.9739048052217323,2.1903913997498416,0.21648659452810937,1,10,19,0.21822337463462615
1.9938431337793343,0.055890391638377133,1.8842999790862764,2.103386288472392,0.21908630938611573,1,10,9,0.1993802877669665
2.0123230802631196,0.05745617710280803,1.899711042452261,2.1249351180739784,0.22522407562171742,1,9,15,0.16347238378885717
1.8936094040132148,0.047274010445101114,1.8009540461360463,1.9862647618903833,0.185310715754337,0,24,13,0.12269143738837147
1.985050204118708,0.0598835039323034,1.8676806931433305,2.102419715094085,0.23473902195075458,1,12,6,0.16296997425280824
1.9909099610046423,0.0549806598307301,1.8831498478901634,2.0986700741191213,0.21552022622895795,1,8,8,0.20370814255914624
2.0691713744664124,0.06179591798407183,1.9480536008260405,2.190289148106784,0.2422355472807436,1,12,6,0.1727198699995427
2.011931960182875,0.05662441856845024,1.9009501391431916,2.1229137812225587,0.22196364207936714,1,12,5,0.17052091601777847
2.2247928279880567,0.06301702497098366,2.1012817286320673,2.348303927344046,0.24702219871197872,0,8,20,0.19736460960396782
1.9672414994046337,0.06475792932505138,1.8403182902141428,2.0941647085951245,0.25384641838098165,1,15,10,0.1422686589226249
1.922871679767618,0.056512364383155864,1.8121094808954283,2.0336338786398076,0.22152439774437926,1,12,12,0.1914830968850747
1.9496348283634568,0.04941649073528884,1.8527802862799334,2.04648937044698,0.19370908416704657,1,20,14,0.11704399108373731
1.9597556421935236,0.051899587846944505,1.8580343192010398,2.0614769651860074,0.20344264598496764,1,19,10,0.1302245704886357
2.0035294616409685,0.05343942782330966,1.8987901077528537,2.108268815529083,0.20947870777622946,1,7,11,0.22477003513487523
2.119418355491729,0.06068918009002672,2.0004697482640115,2.2383669627194465,0.237897214455435,0,15,21,0.15203114646458202
1.939697586336755,0.06166189381414472,1.8188424952424982,2.0605526774310117,0.24171018218851348,1,18,20,0.12495716594897333
2.056683388846042,0.05137775034668493,1.9559848485598494,2.1573819291322347,0.20139708057238526,1,9,6,0.20722680270497368
1.9786609121436545,0.0530415521514419,1.8747013802427253,2.0826204440445837,0.20791906380185843,1,9,9,0.18373883308508057
1.967837994707983,0.050624230573084295,1.8686163260396862,2.0670596633762797,0.19844333733659347,1,7,10,0.2253737553063213
1.942433411991669,0.06062581821301433,1.8236089917608886,2.0612578322224495,0.23764884046156087,1,11,9,0.18737821375274186
2.010259910696896,0.0476575844293852,1.9168527616251243,2.103667059768668,0.18681429814354367,1,18,15,0.1517103113678438
1.9277936320179625,0.05234364608151357,1.8252019708786849,2.03038529315724,0.2051833222785553,1,11,8,0.18784700901918527
1.7848000074055026,0.06342407537604572,1.6604911039156993,1.9091089108953059,0.24861780697960656,0,26,8,0.11317399069424866
1.9988425764551712,0.05338940533691092,1.8942012648388151,2.103483888071527,0.20928262323271207,1,21,22,0.11207979692535279
1.9377364093482472,0.05362545657823385,1.8326324458003924,2.042840372896102,0.21020792709570957,1,17,22,0.13657563727038793
1.9850593461732244,0.055875661187260194,1.875545062633832,2.094573629712617,0.21902856707878526,1,15,16,0.13245157092457224
2.0773629982009028,0.061750464841340474,1.9563343110832685,2.198391685318537,0.24205737423526852,1,6,6,0.2109459900660707
2.009202697514406,0.06226208250111671,1.8871712582097557,2.131234136819056,0.24406287860930043,1,13,19,0.16166172014279517
1.9158556663656066,0.050113538572406274,1.8176349356258314,2.0140763971053817,0.19644146147955022,1,11,10,0.1587716758960793
2.002105191140302,0.05567940610793404,1.8929755604881717,2.1112348217924324,0.21825926130426065,1,6,6,0.21914804064653848
1.9418532304509317,0.05839535462582652,1.8274004385198672,2.056306022381996,0.22890558386212878,1,20,9,0.1303792393506726
2.026845713237767,0.05930839282488994,1.9106033993200289,2.143088027155505,0.2324846278354762,1,11,15,0.1770625605490059
2.0044214436920798,0.05672160588071086,1.8932491390206112,2.1155937483635485,0.22234460934293732,1,14,13,0.1699312417088545
1.8582672317603668,0.05774744263476842,1.7450843239969278,1.9714501395238058,0.22636581552687796,0,23,5,0.11083476152712045
1.8524907059157438,0.05768331116307694,1.7394334935270959,1.9655479183043918,0.22611442477729593,0,32,18,0.10100083737060768
2.0035275222557307,0.05750083898681222,1.8908279487607422,2.116227095750719,0.22539914698997698,1,5,8,0.2130159213244768
1.9883259401305187,0.05228335080022464,1.885852455571005,2.0907994246900325,0.20494696911902754,1,20,11,0.12639294398937284
2.0630215072825946,0.05231565673361639,1.960484704257146,2.165558310308043,0.20507360605089708,1,17,9,0.1522402842082112
1.9331735771155694,0.05708484845189616,1.8212893300869257,2.0450578241442128,0.22376849405728705,1,18,18,0.15133401413737618
1.8537485355952854,0.061638090013239194,1.7329400990934987,1.9745569720970721,0.24161687300357348,0,18,3,0.1464897168328547
