param,value,coverage,avg_ci_length,bias,rmse,avg_k_y,avg_k_d
n,80,0.016666666666666666,0.42220101578409486,-0.44242798529935284,0.4515242093286524,15.916666666666666,9.716666666666667
n,120,0.03333333333333333,0.3452278230072058,-0.32002375710952874,0.32841349991694024,16.883333333333333,9.5
n,200,0.25,0.27055014852191483,-0.18902111211439954,0.20283756181185245,15.85,8.7
n,320,0.4,0.21975263388641003,-0.13193022042196095,0.14351155220863424,16.516666666666666,9.216666666666667
