beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
1.9137219912382997,0.05763717210042456,1.8007552097507307,2.0266887727258687,0.225933562975138,1,9,6,0.17596443035967424
1.9259049517705575,0.058019836889323544,1.812188161078595,2.0396217424625203,0.22743358138392522,1,17,8,0.17596443035967424
1.9454703496263799,0.06039735364045426,1.8270937117295605,2.0638469875231995,0.23675327579363903,1,12,5,0.17596443035967424
1.8371012985029167,0.05318333383814176,1.7328638796023885,1.9413387174034449,0.20847483780105636,0,14,7,0.17596443035967424
1.9758248231310735,0.05528288080835386,1.8674723677850795,2.0841772784770676,0.21670491069198805,1,16,10,0.17596443035967424
1.913860702936932,0.05953365505365765,1.7971768831637318,2.030544522710132,0.23336763954640016,1,10,5,0.17596443035967424
1.9183654418928278,0.06024049323848042,1.8002962447344775,2.036434639051178,0.23613839431670058,1,14,7,0.17596443035967424
1.88257275520343,0.05559510567069479,1.7736083503721696,1.9915371600346903,0.2179288096625207,0,14,9,0.17596443035967424
1.8306075036605796,0.0596875566367147,1.713622042327424,1.9475929649937351,0.23397092266631114,0,18,10,0.17596443035967424
1.9268445228765205,0.05506906364655914,1.8189111414669206,2.0347779042861203,0.2158667628191997,1,13,6,0.17596443035967424
1.9406570140214852,0.05190327163245438,1.8389284709420752,2.042385557100895,0.20345708615881986,1,15,8,0.17596443035967424
1.869317688944756,0.052731115259723314,1.7659666021710678,1.9726687757184442,0.2067021735473764,0,13,7,0.17596443035967424
1.8652958805213395,0.055829744043672094,1.7558715929296527,1.9747201681130264,0.21884857518337375,0,14,8,0.17596443035967424
1.9680163690602335,0.054255881998648114,1.861676794393428,2.074355943727039,0.21267914933361087,1,12,6,0.17596443035967424
1.8258725368393172,0.04968498604867761,1.728491753611534,1.9232533200671003,0.1947615664555662,0,13,8,0.17596443035967424
1.8261625622518731,0.056614976718752964,1.7151992468975437,1.9371258776062026,0.22192663070865892,0,16,10,0.17596443035967424
1.9714873067725405,0.057524388322519944,1.858741577427705,2.084233036117376,0.22549145868967102,1,15,6,0.17596443035967424
1.8720226514332527,0.06337230776204494,1.7478152106024565,1.996230092264049,0.24841488166159253,0,11,6,0.17596443035967424
1.9462832999723148,0.05150757966632033,1.8453302988954994,2.0472363010491303,0.20190600215363097,1,16,8,0.17596443035967424
1.8641639618664319,0.057619195273617904,1.7512324143119602,1.9770955094209035,0.2258630951089433,0,13,11,0.17596443035967424
1.9177919446947218,0.058596750352981154,1.802944424391794,2.0326394649976494,0.22969504060585533,1,10,7,0.17596443035967424
1.8472655228425021,0.05125945708627286,1.7467988330863309,1.9477322125986734,0.20093337951234247,0,14,5,0.17596443035967424
1.9262233611439052,0.06562338583317515,1.797603888367306,2.0548428339205045,0.2572389455531985,1,12,11,0.17596443035967424
1.8798291838332004,0.055329561412037535,1.7713852361852096,1.9882731314811912,0.21688789529598163,0,11,7,0.17596443035967424
1.9584071422038867,0.05865314922934283,1.8434490821345215,2.073365202273252,0.2299161201387303,1,15,13,0.17596443035967424
1.8386674366362767,0.062349733761332564,1.716464204018404,1.9608706692541495,0.2444064652357456,0,14,6,0.17596443035967424
1.8792941534841532,0.051865284959344816,1.7776400629159304,1.980948244052376,0.20330818113644566,0,15,9,0.17596443035967424
1.9984461951596142,0.06459398023967493,1.8718443202717594,2.1250480700474688,0.25320374977570936,1,13,9,0.17596443035967424
1.942400591472422,0.05717652367704686,1.8303366643042085,2.0544645186406356,0.22412785433642712,1,15,8,0.17596443035967424
1.8671349479110557,0.05031895093745547,1.768511616333805,1.9657582794883064,0.19724666315450134,0,15,8,0.17596443035967424
1.8843009151751313,0.05366173690686121,1.7791258434898196,1.989475986860443,0.2103501433706234,0,14,7,0.17596443035967424
1.9880194537971216,0.05168700488515072,1.8867147857534805,2.0893241218407628,0.20260933608728227,1,18,8,0.17596443035967424
1.8703994446348018,0.05818093211503452,1.7563669131023643,1.9844319761672393,0.22806506306487506,0,12,8,0.17596443035967424
1.8924045244649168,0.04926069184485775,1.7958553425954698,1.9889537063343639,0.1930983637388941,0,13,5,0.17596443035967424
1.8742501716723137,0.05791085157016693,1.7607469882807416,1.9877533550638857,0.22700636678314412,0,15,7,0.17596443035967424
1.843943421506126,0.05737557555714999,1.7314893598218553,1.9563974831903965,0.22490812336854127,0,13,6,0.17596443035967424
1.8697458353605463,0.052335849867329996,1.767169454520284,1.9723222162008085,0.20515276168052443,0,12,5,0.17596443035967424
1.9532837614084002,0.05446256858197229,1.8465390884821917,2.0600284343346087,0.21348934585241697,1,15,6,0.17596443035967424
1.9377178516449471,0.05928499019675475,1.8215214060354976,2.0539142972543964,0.23239289121889883,1,11,6,0.17596443035967424
1.995317112947029,0.0508295931685757,1.8956929409877976,2.0949412849062607,0.19924834391846313,1,9,6,0.17596443035967424
1.9414269026231539,0.05647445763213648,1.8307389996177332,2.0521148056285745,0.22137580601084128,1,12,7,0.17596443035967424
1.9057453479584292,0.06168096184276791,1.7848528842148148,2.026637811702044,0.24178492748722902,1,19,10,0.17596443035967424
1.8687546730940348,0.05735637983356326,1.7563382343366514,1.9811711118514181,0.22483287751476677,0,16,7,0.17596443035967424
1.8417068653505568,0.05659187498253595,1.730788828567193,1.9526249021339206,0.22183607356672752,0,18,8,0.17596443035967424
1.912903136411005,0.051551691345108945,1.8118636780324662,2.0139425947895435,0.20207891675707734,1,14,7,0.17596443035967424
1.8186907672560264,0.0618299861919165,1.6975062211552612,1.9398753133567916,0.24236909220153047,0,13,9,0.17596443035967424
