beta1_hat,se_HC3,ci_low,ci_high,ci_length,covered,k_y,k_d,alpha
1.6263133827141065,0.08615389530519965,1.4574548507880807,1.7951719146401324,0.3377170638520517,0,16,4,0.2873487115071379
1.6553594354285976,0.0935405907407134,1.4720232464841985,1.8386956243729968,0.36667237788879836,0,9,4,0.2873487115071379
1.6867457051521357,0.09918794185285658,1.4923409114198838,1.8811504988843877,0.3888095874645039,0,9,3,0.2873487115071379
1.6231046083980694,0.08892848754428176,1.4488079756116583,1.7974012411844804,0.3485932655728221,0,15,7,0.2873487115071379
1.7822732610620688,0.09354903308744406,1.5989205254221326,1.965625996702005,0.3667054712798725,0,18,5,0.2873487115071379
1.634362004206416,0.09324667579903106,1.4516018779622324,1.8171221304505996,0.36552025248836717,0,14,6,0.2873487115071379
1.841338064236647,0.08851221599862223,1.6678573086875175,2.0148188197857766,0.3469615110982591,1,11,4,0.2873487115071379
1.6809900273924798,0.09131463801603333,1.5020166256197425,1.8599634291652172,0.3579468035454747,0,17,5,0.2873487115071379
1.8401578638958005,0.08407817113691209,1.6753676765814578,2.0049480512101434,0.3295803746286856,1,12,3,0.2873487115071379
1.6420985931114433,0.086096412282349,1.4733527258399273,1.8108444603829594,0.33749173454303216,0,19,5,0.2873487115071379
1.8680265838218144,0.08336762023889145,1.7046290506767747,2.0314241169668543,0.3267950662900796,1,13,5,0.2873487115071379
1.6409574454538536,0.07125918204366812,1.5012920150804807,1.7806228758272264,0.27933086074674573,0,8,4,0.2873487115071379
1.736578957318741,0.09140733539779161,1.557423872016296,1.9157340426211857,0.3583101706048897,0,11,4,0.2873487115071379
1.7840137110356353,0.08994327127380572,1.6077281386872602,1.9602992833840105,0.3525711446967503,0,14,6,0.2873487115071379
1.709515525274254,0.08942876307453122,1.5342383704662073,1.8847926800823007,0.35055430961609346,0,8,3,0.2873487115071379
1.8725838437196574,0.10769212140414419,1.6615111643488196,2.083656523090495,0.42214535874167525,1,13,4,0.2873487115071379
1.7086426923488958,0.08506918138237529,1.5419101606451349,1.8753752240526567,0.3334650634075218,0,16,3,0.2873487115071379
1.780457863619094,0.078765337718378,1.6260806384609388,1.9348350887772492,0.30875445031631044,0,11,4,0.2873487115071379
1.7621122487757477,0.10053679713154651,1.5650637472769067,1.9591607502745887,0.394097002997682,0,12,3,0.2873487115071379
1.7389237511217055,0.10047576075581174,1.5419948787210516,1.9358526235223594,0.39385774480130786,0,10,3,0.2873487115071379
1.6416403085921663,0.07151505633477917,1.501473373823646,1.7818072433606864,0.2803338695370403,0,13,4,0.2873487115071379
1.8028036271295989,0.08791790114629955,1.630487707286499,1.9751195469726988,0.3446318396861998,0,12,3,0.2873487115071379
1.8606177883007042,0.09385528685093364,1.6766648063141987,2.04457077028721,0.3679059639730111,1,10,4,0.2873487115071379
1.6571627018570536,0.08985619757998964,1.4810477908125588,1.8332776129015484,0.3522298220889897,0,12,4,0.2873487115071379
1.8492289885594428,0.08523601591085526,1.6821694671884835,2.016288509930402,0.3341190427419187,1,9,3,0.2873487115071379
1.9694041460069174,0.10297976208468326,1.7675675211844348,2.1712407708294,0.4036732496449651,1,14,3,0.2873487115071379
1.7474949041443897,0.08211108241306746,1.5865601398831772,1.9084296684056021,0.3218695285224249,0,12,6,0.2873487115071379
1.7131328001862838,0.09314354124838335,1.5305748139469315,1.895690786425636,0.36511597247870453,0,17,4,0.2873487115071379
1.7030042668862166,0.08791391660662858,1.530696156597367,1.8753123771750664,0.3446162205776995,0,11,3,0.2873487115071379
1.6904355607686772,0.07383620901651966,1.545719250341327,1.8351518711960273,0.28943262085470023,0,16,3,0.2873487115071379
1.6052784674882132,0.06617659795236114,1.4755747188821984,1.734982216094228,0.2594074972120297,0,14,8,0.2873487115071379
1.646711795248982,0.07184779960617328,1.5058926956524314,1.7875308948455326,0.2816381991931012,0,9,3,0.2873487115071379
1.6707545156793577,0.08789247590544062,1.4984884283926396,1.8430206029660758,0.3445321745734362,0,9,4,0.2873487115071379
1.6850921928038978,0.0821243764047772,1.5241313727977235,1.846053012810072,0.3219216400123486,0,12,4,0.2873487115071379
1.7398224970422245,0.07841134016858614,1.5861390943322768,1.893505899752172,0.30736680541989525,0,10,3,0.2873487115071379
1.6838426830607256,0.08724766118199116,1.5128404094086696,1.8548449567127816,0.342004547304112,0,11,4,0.2873487115071379
1.652210202806094,0.08636721106885341,1.4829335796659724,1.8214868259462158,0.3385532462802434,0,9,3,0.2873487115071379
1.7435149282550966,0.07985000810141209,1.5870117882110972,1.900018068299096,0.3130062800879987,0,9,3,0.2873487115071379
1.517719537739448,0.08171699475825041,1.3575571710884287,1.6778819043904671,0.3203247333020385,0,12,4,0.2873487115071379
1.7279656326028587,0.08557974505185913,1.560232414495095,1.8956988507106225,0.3354664362155275,0,8,3,0.2873487115071379
1.9246431814110205,0.10920634870901297,1.710602671058233,2.1386836917638083,0.4280810207055754,1,9,3,0.2873487115071379
1.6911011280976238,0.11863123300682502,1.4585881839626675,1.92361407223258,0.46502588826991254,0,10,3,0.2873487115071379
1.7203784831186741,0.08908935552165799,1.5457665548903399,1.8949904113470084,0.34922385645666854,0,10,3,0.2873487115071379
1.735567161505336,0.08298976243870645,1.5729102160399364,1.8982241069707357,0.3253138909307993,0,13,4,0.2873487115071379
1.7841937435095292,0.10256829486959108,1.5831635796094463,1.985223907409612,0.40206032780016576,0,10,3,0.2873487115071379
1.7749207257486508,0.091152164914792,1.596265765402803,1.9535756860944986,0.35730992069169565,0,13,4,0.2873487115071379
1.679179300409333,0.09078253955227172,1.5012487924617974,1.8571098083568685,0.355861015895071,0,11,4,0.2873487115071379
1.7241066062050907,0.0940606673115846,1.539751085912581,1.9084621264976005,0.3687110405850196,0,9,3,0.2873487115071379
1.8192838316908526,0.08286407020706171,1.6568732384726133,1.981694424909092,0.3248211864364787,0,5,4,0.2873487115071379
1.7629126521426683,0.08097112555804428,1.6042121622612309,1.9216131420241058,0.31740097976287496,0,8,3,0.2873487115071379
1.379813644692198,0.09308603497506887,1.1973683686774272,1.5622589207069688,0.36489055202954157,0,9,6,0.2873487115071379
