scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.778,1.996535896525674,-0.003464103474325961,0.11602401271454912,0.2225300868553428,29.528,29.294,0.18698018549207196,0.08455915662729883,0.05676892244210393
medium_corr_0_2,500,0.746,2.0114103369770215,0.011410336977021346,0.16579339041077673,0.2856033712171701,25.038,25.964,0.256348076499483,0.11311446142337224,0.07285934166902375
medium_corr_0_0,500,0.666,2.0064293977018397,0.006429397701839772,0.18094552552055088,0.2835170327158236,26.11,26.11,0.2531542800908658,0.11343258728332029,0.07232710267948027
medium_corr_0_5,500,0.768,2.0089275997490876,0.00892759974908772,0.1738464150496123,0.28747023898357354,26.044,26.87,0.21367264444742978,0.0943489274540767,0.07333559219738271
large_corr_0_2,500,0.748,1.9960284364642822,-0.003971563535717993,0.12558045702925913,0.22229744988731315,28.936,28.638,0.22443873224038513,0.10099814107695358,0.0567095751862705
large_corr_0_0,500,0.658,2.002745435185439,0.0027454351854389798,0.14013587346457138,0.22235251585804394,28.932,29.19,0.2259791364995594,0.10093401921922301,0.05672362288591324
small_corr_0_2,500,0.664,2.0064787154425394,0.006478715442539313,0.2946449557513489,0.38059782174772416,22.93,22.954,0.284251282518562,0.12675268876187462,0.09709306516594975
small_corr_0_0,500,0.568,2.0319640355516624,0.03196403555166211,0.39677810226813687,0.3856325909525309,23.852,24.008,0.2811164869027081,0.12512121952473393,0.09837746866635086
small_corr_0_5,500,0.726,2.003773889908804,0.003773889908803977,0.28714341430810286,0.38182913573226923,23.288,23.144,0.24019454045514965,0.10752687274445856,0.09740718164825697
