scenario,rows,coverage,treatment_effect_hat_mean,bias,rmse,ci_length_mean,n_selected_outcome_controls_mean,n_selected_treatment_controls_mean,outcome_lasso_penalty_mean,treatment_lasso_penalty_mean,standard_error_HC3_mean
large_corr_0_5,500,0.936,2.009762020534193,0.009762020534192678,0.06851663450671187,0.22798267541343664,22.782,23.05,0.4043624632762248,0.1714413832276959,0.05815991447081038
medium_corr_0_2,500,0.94,2.0266965675972988,0.02669656759729857,0.082836053509553,0.2777302371725073,16.41,17.056,0.5541216327252166,0.23412785323963914,0.07085085220014445
medium_corr_0_0,500,0.89,2.0492235767598075,0.04922357675980747,0.08738734714683714,0.27108926503282577,12.376,13.2,0.5637317326442631,0.23830745781493012,0.06915669552378086
medium_corr_0_5,500,0.956,2.0166192838900625,0.0166192838900621,0.08271353097637452,0.28123285785888347,19.106,19.29,0.5543882904549092,0.23383402673535084,0.07174439430449035
large_corr_0_2,500,0.918,2.0147596434386306,0.014759643438630432,0.06957290159366812,0.22735596677245717,20.914,21.658,0.4065302505047862,0.1725237673681478,0.05800003687971103
large_corr_0_0,500,0.908,2.0271834998816445,0.02718349988164471,0.07242785804070831,0.22457178377075912,17.18,18.33,0.41266852841977114,0.17515156721594957,0.05728977306270741
small_corr_0_2,500,0.834,2.077468266613872,0.07746826661387203,0.1314117689342329,0.3479234852685391,13.088,13.516,0.800119107018838,0.33313865146963406,0.08875762208206758
small_corr_0_0,500,0.728,2.1108007567672686,0.11080075676726817,0.1514710653210881,0.33468999745073214,9.4,10.026,0.8125388219937819,0.3388658335080887,0.08538167029872079
small_corr_0_5,500,0.864,2.058619732073741,0.05861973207374122,0.12404809572366413,0.3545302922269171,16.012,16.284,0.8032290269771339,0.3335610148594369,0.09044306299080154
