param,value,coverage,avg_ci_length,bias,rmse,avg_k_y,avg_k_d
n,120,0.042,0.34868610302568503,-0.3169942688866268,0.32672285036463883,16.378,9.488
n,200,0.174,0.2747388715876595,-0.2005214397704139,0.21104804192143037,16.67,8.986
n,320,0.344,0.2190064927352951,-0.1334753543031143,0.14337451984246483,16.956,9.062
