param,value,coverage,avg_ci_length,bias,rmse,avg_k_y,avg_k_d
n,80,0.02,0.4135720865815386,-0.4435933856721283,0.4532000978952806,15.63,9.73
n,120,0.03,0.34337876759918795,-0.31861326684689506,0.3268081188947208,16.67,9.4
n,200,0.21,0.2746899194169867,-0.1951440571357771,0.20758274300392218,16.09,8.66
n,320,0.41,0.22127909264170675,-0.12933455777566313,0.14056439526982295,16.81,9.08
